738447109	4680	4682
790499380	2685	2688
788626289	1074	1089
761575506	181	200
761575506	197	205
782448403	266	287
730081389	1161	1173
999001259	2010	2032
832913316	20	38
738442776	2151	2160
738028498	257	263
798244842	5721	5739
778094905	265	267
787730392	570	585
999001323	1258	1282
730269378	658	677
789512681	7132	7140
832908730	1594	1608
785331076	2275	2282
789753303	729	731
832916492	602	619
772836731	6628	6643
832908905	1503	1527
789454337	66	85
999000878	2430	2431
777720051	1338	1340
787966255	1404	1429
738361208	3608	3620
740235127	717	729
788271400	1557	1576
777869943	6253	6267
776126299	6163	6178
832916508	861	866
783774960	5233	5243
778507244	405	417
999001280	4362	4372
832910505	446	456
999001211	3415	3421
832917532	1009	1022
794344513	1104	1105
779309765	2750	2756
787085939	5455	5458
761568202	1751	1768
730093263	2741	2764
730093263	2755	2771
832917778	640	645
778358096	1466	1477
763412406	4258	4270
832908978	3109	3114
832913653	3179	3182
777785889	1782	1790
999000874	742	746
781672902	6308	6330
999001299	3733	3736
788273361	2799	2800
999000858	1396	1400
763280007	57	74
761955563	1808	1821
999001256	1718	1728
786004130	3305	3315
778730964	1900	1910
738781754	132	134
999001419	1603	1604
763114850	5618	5640
794141509	11434	11445
782149032	391	409
784143418	3225	3229
784382409	4001	4004
761722669	1390	1405
999000851	2879	2891
773650987	2692	2716
730246508	5229	5251
790666929	931	954
788847916	1437	1453
776385494	759	767
999001290	4643	4664
738542398	1544	1569
